"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0111161","Tue Feb 23 06:01:42 2016","Tue Feb 23 06:01:42 2016","","Die Verurteilten","Feature Film","Frank Darabont","","9.3","142","1994","crime, drama","1613705","1994-09-10","http://www.imdb.com/title/tt0111161/"
"2","tt0068646","Tue Feb 23 06:01:43 2016","Tue Feb 23 06:01:43 2016","","Der Pate","Feature Film","Francis Ford Coppola","","9.2","175","1972","crime, drama","1105114","1972-03-15","http://www.imdb.com/title/tt0068646/"
"3","tt0071562","Tue Feb 23 06:01:43 2016","Tue Feb 23 06:01:43 2016","","Der Pate 2","Feature Film","Francis Ford Coppola","","9.0","202","1974","crime, drama","752387","1974-12-12","http://www.imdb.com/title/tt0071562/"
"4","tt0468569","Tue Feb 23 06:01:44 2016","Tue Feb 23 06:01:44 2016","","The Dark Knight","Feature Film","Christopher Nolan","","9.0","152","2008","action, crime, drama","1589787","2008-07-14","http://www.imdb.com/title/tt0468569/"
"5","tt0110912","Tue Feb 23 06:01:44 2016","Tue Feb 23 06:01:44 2016","","Pulp Fiction","Feature Film","Quentin Tarantino","","8.9","154","1994","crime, drama","1262921","1994-05-12","http://www.imdb.com/title/tt0110912/"
"6","tt0108052","Tue Feb 23 06:01:45 2016","Tue Feb 23 06:01:45 2016","","Schindlers Liste","Feature Film","Steven Spielberg","","8.9","195","1993","biography, drama, history","823885","1993-11-30","http://www.imdb.com/title/tt0108052/"
"7","tt0050083","Tue Feb 23 06:01:46 2016","Tue Feb 23 06:01:46 2016","","Die zwölf Geschworenen","Feature Film","Sidney Lumet","","8.9","96","1957","crime, drama","422657","1957-04-10","http://www.imdb.com/title/tt0050083/"
"8","tt0167260","Tue Feb 23 06:01:47 2016","Tue Feb 23 06:01:47 2016","","Der Herr der Ringe - Die Rückkehr des Königs","Feature Film","Peter Jackson","","8.9","201","2003","adventure, drama, fantasy","1160483","2003-12-01","http://www.imdb.com/title/tt0167260/"
"9","tt0060196","Tue Feb 23 06:01:48 2016","Tue Feb 23 06:01:48 2016","","Zwei glorreiche Halunken","Feature Film","Sergio Leone","","8.9","161","1966","western","481455","1966-12-23","http://www.imdb.com/title/tt0060196/"
"10","tt0137523","Tue Feb 23 06:01:49 2016","Tue Feb 23 06:01:49 2016","","Fight Club","Feature Film","David Fincher","","8.9","139","1999","drama","1280809","1999-09-10","http://www.imdb.com/title/tt0137523/"
"11","tt0120737","Tue Feb 23 06:01:50 2016","Tue Feb 23 06:01:50 2016","","Der Herr der Ringe - Die Gefährten","Feature Film","Peter Jackson","","8.8","178","2001","adventure, drama, fantasy","1184290","2001-12-10","http://www.imdb.com/title/tt0120737/"
